terminal_state	failure_class	contract_layer	violated_contract	source	source_of_truth
ok	ok	ok	none	process_result	process_exit_and_eval_checks
plan_parse_failed	planning	planning_contract	plan_file_parse_contract	plan_contract	runtime_evidence
plan_schema_failed	planning	planning_contract	plan_file_schema_contract	plan_contract	runtime_evidence
plan_lint_failed	planning	planning_contract	planning_contract	plan_contract	runtime_evidence
provider_transport_failed	provider_transport	execution_contract	provider_transport_contract	provider_response	runtime_evidence
provider_parse_failed	provider_transport	execution_contract	provider_tool_call_parse_contract	provider_response	runtime_evidence
tool_protocol_failed	tool_protocol	execution_contract	tool_protocol_contract	execution_guard	runtime_evidence
step_policy_failed	step_policy	execution_contract	step_execution_policy_contract	execution_guard	runtime_evidence
profile_contract_failed	profile	profile_contract	profile_contract	profile_verifier	runtime_evidence
verifier_command_failed	verifier	verification_contract	verification_contract	verifier	runtime_evidence
dependency_missing	setup	setup_bootstrap_contract	setup_bootstrap_contract	environment_verifier	verifier_output
setup_failed	setup	setup_bootstrap_contract	setup_bootstrap_contract	environment_verifier	verifier_output
port_in_use	setup	dev_server_port_contract	dev_server_port_contract	environment_verifier	verifier_output
missing_deliverable	planning	planning_contract	eval_success_contract	eval_success_check	eval_success_contract
missing_evidence	quality	eval_success_contract	evidence_contract	eval_success_check	eval_success_contract
evidence_binding_failed	quality	eval_success_contract	evidence_binding_contract	eval_success_check	eval_success_contract
completion_evidence_failed	quality	eval_success_contract	completion_evidence_contract	eval_success_check	eval_success_contract
stale_evidence	quality	eval_success_contract	evidence_freshness_contract	eval_success_check	eval_success_contract
eval_assertion_failed	quality	eval_success_contract	eval_success_contract	eval_success_check	eval_success_contract
repair_exhausted	planning	planning_contract	bounded_repair_contract	bounded_repair	runtime_evidence
explicit_stop	unknown	unknown_contract	explicit_stop_contract	bounded_repair	runtime_evidence
unknown	unknown	unknown_contract	unknown_contract	unknown	unknown
